"Step","bert_attention_stopword_removed - train/accuracy","bert_attention_stopword_removed - train/accuracy__MIN","bert_attention_stopword_removed - train/accuracy__MAX","bert_attention_hashtag - train/accuracy","bert_attention_hashtag - train/accuracy__MIN","bert_attention_hashtag - train/accuracy__MAX","bert_attention_cleaned_spelling_corrected - train/accuracy","bert_attention_cleaned_spelling_corrected - train/accuracy__MIN","bert_attention_cleaned_spelling_corrected - train/accuracy__MAX","bert_attention_cleaned_lemmatized - train/accuracy","bert_attention_cleaned_lemmatized - train/accuracy__MIN","bert_attention_cleaned_lemmatized - train/accuracy__MAX","bert_attention_cleaned - train/accuracy","bert_attention_cleaned - train/accuracy__MIN","bert_attention_cleaned - train/accuracy__MAX","bert_attention - train/accuracy","bert_attention - train/accuracy__MIN","bert_attention - train/accuracy__MAX"
"72","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375"
"73","0.75","0.75","0.75","0.78125","0.78125","0.78125","0.90625","0.90625","0.90625","0.84375","0.84375","0.84375","0.875","0.875","0.875","0.75","0.75","0.75"
"74","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.78125","0.78125","0.78125","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.9375","0.9375","0.9375"
"75","0.8125","0.8125","0.8125","0.71875","0.71875","0.71875","0.84375","0.84375","0.84375","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.75","0.75","0.75"
"76","0.75","0.75","0.75","0.6875","0.6875","0.6875","0.75","0.75","0.75","0.75","0.75","0.75","0.8125","0.8125","0.8125","1","1","1"
"77","0.75","0.75","0.75","0.71875","0.71875","0.71875","0.78125","0.78125","0.78125","0.875","0.875","0.875","0.625","0.625","0.625","0.8125","0.8125","0.8125"
"78","0.625","0.625","0.625","0.90625","0.90625","0.90625","0.90625","0.90625","0.90625","0.78125","0.78125","0.78125","0.6875","0.6875","0.6875","0.75","0.75","0.75"
"79","0.9375","0.9375","0.9375","0.8125","0.8125","0.8125","0.8125","0.8125","0.8125","0.84375","0.84375","0.84375","0.78125","0.78125","0.78125","0.875","0.875","0.875"
"80","0.75","0.75","0.75","0.875","0.875","0.875","0.75","0.75","0.75","0.78125","0.78125","0.78125","0.875","0.875","0.875","1","1","1"
"81","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.875","0.875","0.875","0.8125","0.8125","0.8125","0.625","0.625","0.625"
"82","0.75","0.75","0.75","0.78125","0.78125","0.78125","0.84375","0.84375","0.84375","0.875","0.875","0.875","0.71875","0.71875","0.71875","0.875","0.875","0.875"
"83","0.8125","0.8125","0.8125","0.78125","0.78125","0.78125","0.90625","0.90625","0.90625","0.90625","0.90625","0.90625","0.71875","0.71875","0.71875","0.9375","0.9375","0.9375"
"84","0.9375","0.9375","0.9375","0.84375","0.84375","0.84375","0.8125","0.8125","0.8125","0.90625","0.90625","0.90625","0.875","0.875","0.875","0.9375","0.9375","0.9375"
"85","0.75","0.75","0.75","0.875","0.875","0.875","0.78125","0.78125","0.78125","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875"
